text,label
election deal faltered over heath role the tories failed to hold onto power in 1974 after liberals demanded sir edward heath quit in return for co-operation.  documents released after 30 years reveal the failed negotiations by the then prime minister following the dramatic february general election. liberal leader jeremy thorpe appeared willing to form a coalition government. but it partly collapsed over the conservative leader s own role  prompting the queen to ask harold wilson to form a labour government. the february 1974 general election surprised the nation when it created a hung parliament with no party in overall control. sir edward had gone to the country for a fresh mandate amid the spiralling economic crisis  a miners  strike and the subsequent three-day week. labour emerged with the most seats - but its 301 mps were 17 short of the number mr wilson needed to form a majority.  sir edward  who had received more votes but had fewer mps  believed he had the authority to remain at number 10 providing the 14 liberal mps would support his government. he said the liberals could keep out labour in three ways: lend ad hoc support to his minority government  help draw up the government s programme  or have up to three cabinet members in a coalition with the conservatives. according to the documents released at the national archives  the  friendly and easy  first meeting indicated that both sir edward and mr thorpe thought they had the makings of a deal. mr thorpe was in high spirits  having just led his party to a historic jump in support. he also argued for a grand coalition of all three main parties. but sir edward said that was impossible because the labour left was set against it and the pair settled on trying for a conservative-liberal pact.  hours later sir edward s hopes of a deal unravelled as mr thorpe s colleagues refused to support him.  jeremy said he was encountering a rather embarrassing problem with his colleagues about the prime minister personally   reads a telephone memo for mr heath.   they feel they could not agree to serve as long as he is the prime minister.  asked if this was his own view he said - no it was not  i am very close to ted and thought he was by far the most able man we had and he would be perfectly happy to serve - it was only some of his colleagues who were being difficult.  the following day  the stickling points had clearly become two-fold: mr thorpe s colleagues wanted electoral reform and sir edward s resignation. mr thorpe told sir edward:  i am sorry this is obviously hell - a nightmare on stilts for you.  somehow i personally hope that we can work something out.   four hours later  sir edward called the liberal leader back to downing street in a last attempt at a deal. the minutes of the meeting show how the chance of a coalition government quickly evaporated.  the pm said he was bound to tell mr thorpe that his colleagues had told him that they would not agree to serve under any other prime minister. mr thorpe was at liberty to verify this by talking to one or two of the prime minister s colleagues.  documents show that sir edward mulled over resigning and perhaps returning to coalition government in a labour-led coalition. but he already knew mr wilson would not form a coalition with either the liberals or the conservatives because of the opposition of the labour left. within hours of his final talks with mr thorpe  sir edward told the nation he was resigning and the queen invited mr wilson to form a new minority government.,politics
weak dollar hits reuters revenues at media group reuters slipped 11% during 2004  mainly due to the weakness of the dollar  the group said.  the company said it was optimistic about growth even as revenues slipped 11% from ¢G3.24bn ($6.13bn) in 2003 to ¢G2.89bn in 2004. reuters beat profit forecasts  posting a 52% rise in profits for the year to ¢G198m from the ¢G130m seen a year earlier. reuters also beat its savings target for 2004  delivering ¢G234m of cuts. under its three-year fast forward turnaround plan it had aimed to save ¢G220m during the 12 months to 31 december.  reuters also managed to slow a decline in underlying revenues to 5.4% from 10.2% in 2003 and cut its debt back to ¢G160m from ¢G610m a year earlier. the news and financial data seller said the year had begun well  adding it expected  further gradual improvement  in the second quarter of the year after good january sales. it added it was planning to deliver a further ¢G105m of savings over the coming year - but said it expects to be hit with an ¢G80m restructuring charge to pay for the cost of moving from fleet street to new headquarters in london at canary wharf.  improving customer relationships  more competitive products and continued strong cost discipline position us well for 2005   chief executive tom glocer said  adding the company was beginning  to look beyond recovery to growth .,business
everton s weir cools euro hopes everton defender david weir has played down talk of european football  despite his team lying in second place in the premiership after beating liverpool.  weir told bbc radio five live:  we don t want to rest on our laurels and say we have achieved anything yet.  i think you start taking your eye off the ball if you make statements and look too far into the future.  if you start making predictions you soon fall back into trouble. the only thing that matters is the next game.  he said:  we are looking after each other and hard work goes a long way in this league. we have definitely shown that.  also injuries and suspensions haven t cost us too badly and we have a lot of self-belief around the place.,sport
robots learn  robotiquette  rules robots are learning lessons on  robotiquette  - how to behave socially - so they can mix better with humans.  by playing games  like pass-the-parcel  a university of hertfordshire team is finding out how future robot companions should react in social situations. the study s findings will eventually help humans develop a code of social behaviour in human-robot interaction. the work is part of the european cogniron robotics project  and was on show at london s science museum.   we are assuming a situation in which a useful human companion robot already exists   said professor kerstin dautenhahn  project leader at hertfordshire.  our mission is to look at how such a robot should be programmed to respect personal spaces of humans.   the research also focuses on human perception of robots  including how they should look  and how a robot can learn new skills by imitating a human demonstrator.  without such studies  you will build robots which might not respect the fact that humans are individuals  have preferences and come from different cultural backgrounds   professor dautenhahn told bbc news online.  and i want robots to treat humans as human beings  and not like other robots   she added.  in most situations  a companion robot will eventually have to deal not only with one person  but also with groups of people. to find out how they would react  the hertfordshire cogniron team taught one robot to play pass-the-parcel with children.  showing off its skills at the science museum  the unnamed robot had to select  approach  and ask different children to pick up a parcel with a gift  moving it arm as a pointer and its camera as an eye. it even used speech to give instructions and play music. however  according to researchers  it will still take many years to build a robot which would make full use of the  robotiquette  for human interaction.  if you think of a robot as a companion for the human being  you can think of 20 years into the future   concluded professor dautenhahn.  it might take even longer because it is very  very hard to develop such a robot.   you can hear more on this story on the bbc world service s go digital programme.,tech
tokyo says deflation  controlled  the japanese government has forecast that the country s economic growth will slow to 1.6% in the next fiscal year starting in april 2005.  while it predicts this fall from the current 2.1% level  it said it was making progress on ending deflation. the figures were given by economics minister heizo takenaka who said the economy would grow by 2% in 2006/07. he said the consumer price index (cpi) would rise 0.1% in the next fiscal year  the first gain since 2000/01.  we are attempting to make real economic conditions better and to overcome deflation. i think we are on track   said mr takenaka. deflation - or falling consumer prices - has plagued japan for more than five years. to ease the problem the bank of japan has regularly flooded the money market with excess cash to keep short term interest rates at 0% in an attempt to spur economic activity.,business
nhs waiting time target is cut hospital waiting times for patients in wales are to be cut  but not to the same extent as those in england.  welsh health minister jane hutt said no patient would wait more than 12 months for an outpatient appointment by march 2006  against a current target of 18 months. but she said the target for an inpatient appointment would remain at 12 months for march 2006. the announcement came as new monthly waiting figures showed a drop. this current inpatient target was set when the assembly government extended its second offer guarantee scheme  which gives patients the option of having their treatment outside wales.  details about funding to resource the new targets are expected in the new year. in england  the current target for inpatients - seeing a consultant to having an operation - is six months. dr richard lewis  welsh secretary of the british medical association (bma)  welcomed the new targets  to make further and faster progress on waiting lists .  however  much remains to be done on waiting lists and waiting times because wales still lags a long way behind england   he said.  capacity must be built into the system with sustained investment to ensure that welsh patients don t receive a worse service than patients over the border.  health analyst tony beddow  from the welsh institute for health and social care  called the new targets  reasonably impressive .  on wednesday  ms hutt also announced ¢G264m for health services will be spent reducing waiting times  improving key areas and modernising staff pay structures in wales.  ms hutt said major achievements had been made in cutting  unacceptably long waits for treatment over the past year .  we are turning the corner on long waits in wales. now we need to see those reductions in long waiters being improved again   she said. she added the targets intended to ensure no-one waits more than a year for treatment or to see a consultant.  but let us not forget two thirds of those waiting for treatment now are waiting less than six months  and these targets affect the small minority of patients in wales that are waiting far too long.  rhodri glyn thomas  plaid cymru health spokesman said:  it s exactly the same target she set in 1999  with the qualification that it s dependent on a second offer. it s a failed target  from a failed minister..with a failed policy.  for the welsh liberal democrats  kirsty williams called the new target  hugely unambitious .  it leaves patients in wales still waiting two years before they re treated.  conservative health spokesman jonathan morgan said:  we re spending more money but waiting lists have gone through the roof.  the audit commission has said that the money is not being spent efficiently or effectively  and that s quite a criticism.  meanwhile  the latest monthly waiting list figures showed the total number of people waiting more than 18 months as an inpatient in wales has fallen by 9.8%. statistics to the end of november showed a decline since october from 785 to 708. the number waiting over 12 months also fell from 7 613 to 6 630  or 12.9%. ms hutt said they were  excellent figures . there are 305 775 people on a waiting list of some kind  down from 311 764 last month.,politics
new consoles promise big problems making games for future consoles will require more graphic artists and more money  an industry conference has been told.  sony  microsoft and nintendo will debut their new consoles at the annual e3 games expo in los angeles in may. these so-called  next generation  machines will be faster than current consoles  and capable of displaying much higher-quality visuals. for gamers  this should make for better  more immersive games. in a pre-recorded video slot during microsoft s keynote address at the game developers conference  held last week in san francisco  famed director james cameron revealed he is making a game in tandem with his next film - believed to be battle angel alita. the game s visual quality would be  like a lucid dream   said mr cameron. but numerous speakers warned that creating such graphics will require more artists  and so next generation console games will be much more expensive to develop. the first new console  microsoft s xbox 2  is not expected to reach the shops until the end of 2005. games typically take at least 18 months to create  however  so developers are grappling with the hardware today.  according to robert walsh  head of brisbane-based game developer krome studios  next generation games will cost between $10-25m to make  with teams averaging 80 staff in size taking two years to complete a title. such sums mean it will be difficult for anyone to start a new game studio  said mr walsh.  if you re a start-up  i doubt that a publisher is going to walk in and give you a cheque for $10m  however good you are   he said. mr walsh suggested that new studios should make games for mobile phones and handheld consoles like the sony psp and the nintendo ds  since they are cheaper and easier to create than console games.  one developer bucking the trend towards big art teams is will wright  the creator of the best-selling the sims games. the founder of california s maxis studio surprised the conference with a world exclusive preview of his next game  spore. spore will allow players to experiment with the evolution of digital creatures. starting with an amoeba-sized organism  the player will guide the physical development of their creature by selecting how its limbs  jaws and other body parts evolve.  eventually the creature will become capable of establishing cities  trading and fighting  and even building space ships. advanced players will visit the home planets of creatures created by other spore players. these worlds will be automatically swapped across the internet. mr wright said that enabling players to devise and share their creatures would make them care more about the game.  i don t want to put the player in the role of luke skywalker or frodo baggins - i want them to be george lucas or dr seuss   explained mr wright. few games have hinted at the scope of spore  but mr wright explained that he has nevertheless kept his development team small by hiring expert programmers. instead of employing lots of artists to create 3d models of the digital creatures  spore generates and displays the creatures according to rules devised by the programmers.  the thing i am coming away with [from the conference] is that next generation content is going to be really expensive  and creating it will drive the smaller players out of the market   said mr wright.  i d like to offer an alternative to that.   new development tools will be another important aid in making next generation games  and dozens of companies demonstrated their latest products at the conference.  oxford-based natural motion launched endorphin v2.0  which enables artists to direct a 3d  virtual actor . the actor is realistically modelled according to the laws of physics. endorphin simulates how the actor falls down stairs  for instance  or crumples up after a gunshot. artists can blend together these visual sequences  and include the results in their games. the process is much quicker than having an artist animate each movement by hand  and so lessens the need for larger art teams. another british company aiming to reduce the workload of artists is manchester start-up genemation. its latest tool  gencrowd  enables artists to create unique  photo-realistic human faces for games involving lots of people. gencrowd works by blending together elements of an in-built supply of stock faces of differing ages and ethnicities. the software can create up to 2 000 new heads an hour.  one area not yet dominated by graphical blockbusters is mobile phone games. even the latest phones are not as powerful as the consoles of a decade ago  so smaller teams of half a dozen people can still create complete games for the devices.  the game developers conference included a special two-day summit dedicated to creating mobile games. a niche attraction for a few dozen conference attendees when it began five years ago  gdc s mobile summit this year drew several hundred delegates. mobile games are a fast-growing sector because newer phones have better graphics and sound  and are thus more suitable for playing games. furthermore  the adoption of mobile phones continues to spread across the world. it s predicted that by 2006 two billion people will own a mobile phone. the growing importance of mobile gaming was reflected by a keynote given by john batter  general manager at ea mobile. ea mobile is a division of electronic arts  the biggest games publisher. until recently electronic arts had been dismissive of games for phones.  the last time you checked  ea wasn t in this business   mr batter admitted. but he said ea now planned on dominating the market by releasing mobile versions of its most popular franchises. ea plans to release up to 20 mobile games over the next 12 months. the first will be a version of its need for speed racing game  created by ea mobile s 30-person development team. mr batter predicted that by 2006  mobile phones would be capable of running games of comparable quality to those on sony s upcoming psp handheld console.  owain bennallack is the editor of develop magazine.,tech
boateng to step down at election paul boateng  chief secretary to the treasury  is to step down as a labour mp at the forthcoming general election.  mr boateng  53  is to become the uk s high commissioner to south africa. he was the uk s first black cabinet minister when appointed to his post in 2002  promoted from the home office  where he had been prisons minister. mr boateng served on the greater london council before being elected to parliament in 1987  declaring  today brent south  tomorrow soweto . he will succeed the previous high commissioner  ann grant  shortly after the next election  which is widely expected to be held on 5 may. the appointment is dependent on labour s re-election.  prime minister tony blair said:  paul has been both a valued colleague and a trusted friend for many years.  he has made an immense contribution to public life in britain and i am delighted that he has agreed to continue that service to the people of britain by acting as their representative in south africa.  chancellor gordon brown said:  over the past eight years paul s contribution to the treasury and the government has been exceptional - and it has been my privilege to have worked closely with him closely at the treasury.  i congratulate paul on his new appointment.  he has displayed huge dedication to the cause of african development for many years and it is fitting that  in this year of challenge and opportunity for the african continent  paul has been given such a pivotal role in our fight against poverty and injustice.  i look forward to continuing to work with paul on this vital agenda.   mr boateng said:  i am honoured to be asked to take on this role  especially as it comes at such an integral time for our relationship with south africa and the african continent.  there shall be many new challenges and opportunities ahead and i look forward to embracing them with great anticipation.  asked if he was appointed as the result of a  fair and open  competition  he replied:  i have been appointed as a result of a process that s been used before by labour and conservative governments to appoint people of all parties who have relevant experience.  mr boateng also laughed off suggestions that his re-election in brent south seat had been in danger saying it was  one of the safest labour seats in the country . shadow foreign secretary michael ancram said that  if in government  he would refuse to approve either mr boateng s appointment or that of ex-cabinet minister helen liddell as high commissioner to australia.  mr blair s appointment of paul boateng is the latest example of a worrying trend of failed tony s cronies being appointed to senior diplomatic posts   he said.,politics
microsoft launches its own search microsoft has unveiled the finished version of its home-grown search engine.  the now formally launched msn search site takes the training wheels off the test version unveiled in november 2003. the revamped engine indexes more pages than before  can give direct answers to factual questions  and features tools to help people create detailed queries. microsoft faces challenges establishing itself as a serious search site because of the intense competition for queries.  google still reigns supreme as the site people turn to most often when they go online to answer a query  keep up with news or search for images. but in the last year google has faced greater competition than ever for users as old rivals  such as yahoo and microsoft  and new entrants such as amazon and blinkx  try to grab some of the searching audience for themselves. this renewed interest has come about because of the realisation that many of the things people do online begin with a search for information - be it for a particular web page  recipe  book  gadget  news story  image or anything else. microsoft is keen to make its home-grown search engine a significant rival to google. to generate its corpus of data  microsoft has indexed 5 billion webpages and claims to update its document index every two days - more often than rivals. the microsoft search engine can also answer specific queries directly rather than send people to a page that might contain the answer.  for its direct answer feature  microsoft is calling on its encarta encyclopaedia to provide answers to questions about definitions  facts  calculations  conversions and solutions to equations. tony macklin  director of product at ask jeeves  pointed out that its search engine has been answering specific queries this way since april 2003.  the major search providers have moved beyond delivering only algorithmic search  so in many ways microsoft is following the market   he said. tools sitting alongside the msn search engine allow users to refine results to specific websites  countries  regions or languages. microsoft is also using so-called  graphic equalisers  that let people adjust the relevance of terms to get results that are more up-to-date or more popular. the company said that user feedback from earlier test versions had been used to refine the workings of the finished system. the test  or beta  version of the msn search engine unveiled in november had a few teething troubles. on its first day many new users keen to try it were greeted with a page that said the site had been overwhelmed.,tech
rem announce new glasgow concert us band rem have announced plans to perform for 10 000 scottish fans in a rescheduled gig.  the band will play in what has been dubbed europe s biggest tent on glasgow green on tuesday  14 june. they were forced to pull out of a concert at the secc in glasgow last month after bassist mike mills contracted flu. fans who bought tickets for the original 22 february show can attend the rescheduled concert. the june gig will act as a warm-up for rem s open air concert at balloch castle country park  on the banks of loch lomond  four days later.  promoters regular music booked glasgow green as the secc was not available on the most suitable date. mark mackie  director of regular music  said:  it is fantastic news and it really shows rem s commitment to their scottish fans that they are coming back to glasgow for what will be a truly unique gig.  the rem gigs will kick-start what promises to be a memorable summer for scottish music lovers.  grammy award winners u2 will play hampden on 21 june while oasis will also perform at the national stadium in glasgow on 29 june. coldplay have announced a concert at bellahouston park in glasgow on 1 july and t in the park will be held at balado  near kinross  from 9-10 july. ticketweb and the secc box office will write to customers who bought tickets for the february gig asking if they want to attend the new show. those who bought tickets in person are being urged to return to the point of purchase. anyone who cannot make the concert will be given a refund. the cut-off date for swapping tickets is 1 april  when those remaining will go on sale to the public.,entertainment
